SURNAMES,MALE,FEMALE,
Cleine,Ennodius,Gelen,
Clemenceau,Ennomus,Gelleia,
Clémencet,Ennychus,Gemma,
Clemens,Enops,Geneva,
Clement,Enurchus,Genevieve,
Clementi,Eos,Genofeva,
Clenen,Epaenetus,Gentile,
Clerico,Epaphos,Gentzane,
Clerides,Epaphroditus,Georgia,
Clerinell,Epeigeus,Geraxane,
Clessens,Epeius,Gerbaga,
Cleutinx,Ephialtes,Gerberga,
Clevenot,Epicurus,Gerburg,
Cleyman,Epicydes,Geredrudis,
Cleyn,Epikrates,Geretrudis,
Cleys,Epimenes,Gerharde,
Clijsters,Epiphanes,Gerhild,
Clinchamps,Epiphanius,Gerlent,
Clouet,Epistor,Gerlinda,
Clouseau,Epistrophos,Germainne,
Cloutier,Epitrophos,Germana,
Clouzot,Epizelos,Geroa,
Cobaj,Epowlett,Gersenda,
Cocciarella,Eral,Gersendis,
Cochetel,Eraric,Gersuenda,
Cocheteux,Erart,Gersuinda,
Cockelenberg,Erasistratus,Gersvinda,
Cocteau,Eratosthenes,Gert,
Cocu,Eratostheres,Gertie,
Codreanu,Erauso,Gertje,
Coejeman,Ercanbald,Gertrud,
Coelho,Erchambaut,Gertruda,
Coers,Erchebald,Gertrudis,
Coerten,Erchembaut,Gerty,
Coetsee,Erchenbaldus,Geruuara,
Coeur,Erchinoald,Gesa,
Coeuroy,Erechtheus,Geske,
Coffier,Ereinotz,Gethrude,
Cogh,Erengier,Geua,
Cognasso,Eretmenus,Geue,
Cohendet,Ereuthalion,Geuecok,
cohl,Erginus,Geva,
Coimbra,Ergiyios,Gileite,
Cojocaru,Erichthonius,Gilète,
Coliar,Ericus,Gilia,
Collard,Eriulf,Giliana,
Collbras,Eriz,Giliane,
Colleano,Erkenbaud,Gill,
Colletti,Erlantz,Gille,
Colleville,Erlembald,Gilleis,
Collignon,Ermanaric,Gilleite,
Collonville,Ermelandus,Gillian,
Collopy,Ermenoldus,Gillie,
Colombelles,Ernald,Gillot,
Colombi,Ernaldus,Gillota,
Colombieres,Ernaut,Gilly,
Colombo,Erneis,Ginnade,
Colonnese,Ernis,Giona,
Colpaert,Ernisius,Gipuzkoa,
Columbana,Ernold,Giraude,
Columbo,Ernoldus,Gisela,
Comaneci,Ernolf,Gisella,
Comay,Ernoul,Giselle,
Combe,Ernoulet,Gisellee,
Combes,Ernoullet,Gisila,
Comeaga,Ernst,Gisla,
Comeau,Ernust,Gismon,
Commandeur,Erramu,Giso,
Comollo,Erramun,Gixane,
Compagnoni,Errando,Gladuse,
Comtois,Errapel,Glauce,
Comyn,Errolan,Glismoda,
Conceicão,Erroman,Glismodis,
Conegliano,Erruki,Glyke,
Confalonieri,Ertaut,Godalinda,
Conforto,Eru,Godeca,
Conil,Ervig,Godecin,
Coninx,Erwin,Godefe,
Consalvi,Erxandros,Godelda,
Consiglio,Eryalus,Godeleve,
Constandouros,Erysichton,Godelif,
Constantinescu,Eryx,Godelinda,
Constantinis,Eryximachos,Godeliva,
Conta,Escremiz,Godelive,
Contaldo,Esdelot,Godeue,
Conte,Esdert,Godeva,
Contencin,Eshmunazar,Godgeua,
Conteville,Eskuin,Godgiua,
Conti,Esme,Godgiva,
Contini,Esmond,Godid,
Coolhaas,Espan,Godildis,
Cools,Espanelis,Godise,
Coolssens,Esprevere,Godit,
Cootzee,Estebe,Goditha,
Coppenol,Estène,Godiuia,
Coppieters,Estmond,Godleue,
Coppola,Estorgan,Godleva,
Corbajram,Estout,Goduia,
Corbelli,Estramarin,Godusa,
Corbera,Eteocles,Goduse,
Corbet,Eteokles,Goduuara,
Corbière,Eteonous,Godyf,
Corbon,Eteus,Goiatz,
Corbucca,Ethelbert,Goikiria,
Corcuera,Ethelmar,Goikoana,
Cordemans,Etienne,Goiuria,
Corelli,Etor,Goizane,
Corigliano,Etxahun,Goizargi,
Coriolano,Etxatxu,Goldeheve,
Corleis,Etxeberri,Goldgeofu,
Corleone,Etxekopar,Goldgeve,
Corlies,Etxepare,Goldhuie,
Cormeilles,Euaemon,Goldyeua,
Cornaro,Eualcidas,Goldyeue,
Cornea,Euanthes,Goldyva,
Corneilles,Euarestos,Goldyve,
Corneja,Eubalus,Golla,
Cornelis,Eubulus,Gonilda,
Cornelisda,Eucarpus,Gonnild,
Cornelissen,Euchenor,Gonnilda,
Cornell,Eucleides,Gonnora,
Cornet,Eudaemon,Gonora,
Corniel,Eude,Gonore,
Corone,Eudes,Goodeth,
Corosi,Eudon,Goodeve,
Corot,Eudorus,Goodife,
Corradini,Eudoxius,Gorane,
Corrazzari,Eudoxsus,Goratze,
Correia,Eudoxus,Gordia,
Correja,Eudropin,Gordiana,
Corsi,Euenius,Gorgo,
Corsini,Euenor,Gorostitza,
Cortesi,Euenus,Gorria,
Cortesini,Eugammon,Gorritiz,
Corticelli,Eugenios,Gorriza,
Corvinus,Eugenius,Gothuuera,
Corviser,Euhemenis,Goto,
Coscia,Euippus,Gotzone,
Cosin,Eukles,Gozo,
Cosini,Eulalius,Grace,
Cosmati,Eulampius,Gracia,
Cosmatos,Eulogius,Gracye,
Cosmescu,Eumaeus,Graeca,
Cosmo,Eumastas,Gratianne,
Cospito,Eumelus,Graxi,
Cossa,Eumenes,Grazide,
Cossiga,Eumneus,Grece,
Cossutta,Eumolpus,Grecia,
Costa,Euneas,Grecie,
Costache,Euonomos,Grede,
Costacurta,Eupalinus,Gredechin,
Costanduros,Eupatarius,Gregoria,
Coste,Euphemius,Gresilda,
Costi,Euphenes,Greta,
Costocurta,Euphorbos,Grete,
Coté,Euphorion,Gretje,
Coteel,Euphratas,Gricia,
Cotichini,Euphronios,Grietje,
Cotsadis,Euphronius,Grimuuara,
Cottard,Eupolos,Grisegond,
Cottaz,Euric,Grisel,
Cotti,Euripides,Griseldis,
Cottolengo,Euryanax,Grishild,
Couci,Eurybates,Grisigion,
Couderc,Eurybiades,Grisogonia,
Couer,Eurycliedes,Grissall,
Cougelet,Eurydamus,Grissecon,
Coulette,Eurydemon,Grissel,
Couloumbis,Eurydemos,Grissell,
Coulouris,Euryhus,Grizel,
Couperie,Eurykrates,Grizzel,
Couperin,Eurykratides,Guanor,
Couprie,Euryleon,Guda,
Courbet,Eurylochos,Gude,
Courcelle,Eurymachos,Gudeliva,
Courcelles,Euryphon,Gudula,
Courci,Eurypylos,Gudule,
Courcon,Eurystenes,Gudytha,
Courcy,Eurysthenes,Gueanor,
Courseume,Eurystheus,Guener,
Courshesne,Eurysthios,Guenevere,
Courtois,Eurythion,Guiborc,
Cousin,Eurytos,Guibourc,
Cousteau,Eusebius,Guillemete,
Coustodis,Eusko,Guillemette,
Coutela,Eussorus,Guillote,
Couto,Eustache,Guiote,
Coutourier,Eustachius,Gumhild,
Couture,Eustacius,Gundesvinda,
Couve,Eustas,Gundichild,
Covallini,Eustathius,Gundiperga,
Covi,Eustochius,Gundrada,
Cozma,Eustratius,Gundrea,
Crainic,Eute,Gunel,
Craon,Eutha,Gunild,
Crapanzano,Euthalius,Gunilda,
Crasson,Eutharic,Gunne,
Craxi,Euthydemos,Gunnell,
Cremer,Euthynos,Gunneuare,
Cresp,Eutolmius,Gunnild,
Crespi,Eutropios,Gunnilda,
Crespy,Eutuches,Gunnilde,
Cresson,Eutychianus,Gunnildes,
Cretier,Eutychides,Gunnilla,
Creuzfeldt,Eutychius,Gunnilt,
Crevecoeur,Eutychus,Gunnora,
Crisci,Euvrouin,Gunnore,
Cristea,Evaenetos,Gunnota,
Cristescu,Evagoras,Gunnote,
Cristofoletto,Evandros,Gunora,
Cristofolini,Evanetus,Gunwar,
Cristostome,Eve,Gunware,
Crivelli,Evelthon,Guodhelda,
Criville,Evenios,Guodlia,
Croc,Evenon,Gure,
Croce,Evenus,Gurutze,
Croditier,Everardus,Gurutzeta,
Cronenburgh,Evert,Guruzne,
Cronk,Everwinus,Gwenhevare,
Cros,Evios,Gwenore,
Crossette,Evrardin,Gyel,
Crouse,Evrart,Gygaea,
Crouter,Evrat,Gylle,
Cruel,Evrouin,Gyly,
Cruse,Evroul,Gynuara,
Cruyff,Evroult,Gyszel,
Cruz,Ewmond,Hadaken,
Csaba,Ewstace,Hadewidis,
Csillac,Exaduis,Hadwis,
Csillag,Exekias,Hadwisa,
Csollang,Eylgar,Hadwise,
Csollany,Ezkerra,Haidee,
Csurgo,Eztebe,Haize,
Cuattrin,Fabianus,Halie,
Cueff,Fabien,Hana,
Cugey,Fabyan,Hanneli,
Cugnon,Facco,Hanni,
Cugnoni,Fadiko,Haouys,
Cul de Louf,Faenus,Haoys,
Culai,Fairman,Harbona,
Culaj,Faldron,Harmke,
Cullmann,Fallard,Harmodias,
Cumani,Fameite,Harmonia,
Cumin,Famète,Harriet,
Cunha,Fangeaux,Harsent,
Cunk,Faramond,Harwara,
Cuoco,Faramund,Haueis,
Cupidon,Fardulf,Haurramari,
Curtayne,Fareman,Haute,
Curteys,Faremanne,Havisa,
Curti,Farman,Hawis,
Cusson,Farmanus,Hawisa,
Cuthiliero,Farnobius,Hawise,
Cutitta,Faro,Hawisia,
Cuttitta,Faroald,Hawys,
Cuvier,Farrimond,Hawyse,
Cuvilje,Fastida,Hazeca,
Cuyper,Fastred,Hecuba,
Cuza,Fato,Hedewigis,
Cuzzocrea,Fauques,Hedheue,
Cyper,Faure,Hegazti,
Czako,Fawkes,Hegelina,
Czene,Féderic,Heidi,
Czingler,Féderyc,Heidindrudis,
Czobor,Fehde,Heilewif,
Czudaj,Feletheus,Heilewis,
da Cunha-Lisboa,Felippe,Heilewisa,
da Silva,Felippo,Heilswinda,
da Vinci,Felippot,Hekabe,
Daboussier,Feliz,Hekaline,
Dabry,Felyse,Hekate,
Dachev,Ferand,Helchen,
Daci,Ferant,Heldeburga,
Dacourt,Ferentus,Hele,
Daddi,Fermin,Heleanor,
d'Adreci,Ferrand,Helena,
Daelman,Ferrant,Helene,
Daenis,Ferri,Heletradana,
Daens,Ferry,Heleuuidis,
Dafovska,Fersio,Helevisa,
Dagort,Fersomeris,Helewidis,
d'Aguillon,Fery,Helewis,
Dahm,Feva,Helewisa,
Dahrendorf,Fiebras,Helewise,
d'Aigreville,Fiehe,Helewys,
Dal Maistro,Fiepto,Helewyse,
Dal Pane,Fierelus,Heleyne,
Dal soglio,Filibert,Helga,
Dal Soglio,Filimer,Helice,
Daladier,Firman,Helike,
Dalakis,Firmin,Helinda,
d'Albert,Firmine,Heliodora,
d'Alema,Firminus,Helis,
d'Alencon,Firmo,Helisende,
Dalla villa,Fitel,Helisent,
Dallapiccola,Fitellus,Helissent,
Dalle,Fithian,Helissente,
Dalling,Fizzilo,Hellanike,
Dallons,Flaccitheus,Helle,
Dalyngridge,Flaco,Helmech,
Damasco,Flambard,Helmet,
Damaske,Flanbert,Helmeth,
Damaskinos,Flavian,Heloise,
Damasso,Flodoard,Helouys,
D'Amato,Floouen,Heloys,
d'Amboise,Florant,Heloyson,
d'Ambray,Florence,Heltrada,
Damiani,Florencius,Helueua,
Damours,Florent,Helvynya,
Dampier,Florentinus,Helysoune,
Dancescu,Florentius,Helyssent,
d'Andeli,Flori,Hema,
Dandieu,Florian,Hemin,
d'Andre,Floridee,Hemke,
Danel,Floris,Hengelsenda,
Danfrie,Florivet,Heni,
d'Angers,Florus,Herden,
d'Angleville,Fluellen,Herdin,
Daniele,Flurry,Herena,
Danieli,Fluvant,Herenborg,
Dankers,Focke,Herenfrida,
Danneville,Foke,Herleva,
D'Annunzio,Folc,Herleve,
Dano,Folcard,Herlinda,
d'Ansleville,Folke,Herlindis,
Danssaert,Folkert,Hermana,
Danvers,Folkes,Hermelinda,
Danville,Folkher,Hermengarda,
Daoustd,Folkmod,Hermengart,
Dapper,Folmar,Hermenjart,
Daranluz,Formerio,Hermesent,
Darcy,Formosos,Hermessent,
Dardai,Forsard,Hermine,
Darell,Fortin,Hermineite,
d'Argentan,Fortun,Hermione,
D'Argouges,Foucaud,Herophile,
d'Argues,Foucaut,Hersent,
Darlang,Foucher,Hesione,
d'Armentieres,Fouchier,Hesse,
d'Arques,Foulk,Hesychia,
Darragon,Foulque,Hette,
Darraidou,Foulqueret,Hextilda,
Dary,Fouquaut,Hiart,
Daschke,Fouque,Hida,
Dasmarinas,Fouqueret,Hiemke,
Dassu,Fouques,Hientje,
Dater,Fouquet,Hilaera,
d'Athenous,Fourcaut,Hilargi,
Dati,Foursi,Hildberta,
Datini,Fowke,Hildborg,
d'Aubec,Franceis,Hildcardis,
d'Aubernon,Franceys,Hilde,
d'Auberville,Francio,Hildeberga,
Daubigny,Franciscus,Hildeburg,
Daubresse,Franco,Hildeburgis,
Daudet,Francus,Hildegard,
d'Audrieu,Frankl,Hildegarde,
d'Aufai,Franque,Hildegardis,
d'Aumale,Franquet,Hildegund,
Daumier,Frantzes,Hildelana,
Daumoinx,Franz,Hildemunda,
Daunger,Fraomanius,Hildeswindis,
d'Aunon,Fraunce,Hildeth,
Dautane,Fraunk,Hildeuuara,
Dautzenberg,Fravitta,Hildeuuif,
Dautzenburg,Fray,Hildewara,
D'Auvay,Fredegar,Hildewif,
Dauvergne,Frederic,Hildeyerd,
D'Auvrecher,Fredericus,Hildiard,
Daux,Frederik,Hilditha,
Davids,Freert,Hildithe,
d'Avranches,Fremin,Hildrada,
d'Avre,Frerich,Hildwara,
Dazzi,Frery,Hildyard,
de Albreuin,Freskin,Hiliard,
de Almeida,Fretela,Hilith,
de Amicis,Fridebertus,Hilka,
de Angelis,Fridebraht,Hilke,
de Baen,Frideric,Hillaria,
de Bailleul,Fridericus,Hillda,
de Balon,Fridigern,Hille,
de Bane,Fridolin,Hiltrude,
de Bans,Fridugis,Hinauri,
de Bapaumes,Fridurih,Hine,
de Baun,Frigeridus,Hinemoa,
de Beauchamp,Frilo,Hinte,
de Beaufou,Frithila,Hippodameia,
de Beaumais,Frithuric,Hippodamia,
de Beaumont,Fritigern,Hippolyta,
de Beauvais,Froila,Hira,
de Bellehache,Fromondin,Hirmenlind,
de Bellemare,Fromony,Hismena,
de Bellièvre,Fructosus,Hodiern,
de Belmeis,Fuabal,Hodierna,
de Berchelai,Fuano,Hodierne,
de Bercheres,Fulbert,Hoki,
de Bernai,Fulbertus,Honnor,
de Bernieres,Fulchard,Honor,
de Berranger,Fulcher,Honorata,
de Berthellemy,Fulco,Honorée,
de Berville,Fulgentius,Honorète,
de Bethencourt,Fulk,Honoria,
de Beul,Fulke,Honors,
de Bienfaite,Fulko,Horenga,
de Bilde,Fullofaudes,Hostaruuara,
de Biville,Fulrad,Houdée,
de Blundville,Fyrmyn,Hruodgarda,
de Bock,Gabirel,Hruotberta,
de Boeck,Gabo,Hua,
de Boer,Gabon,Hugolinae,
de Boog,Gabrielius,Hugone,
de Boogh,Gadaric,Huguete,
de Both,Gadfrid,Huguette,
de Bouilon,Gagino,Hunila,
de Bourgueville,Gahariet,Hursell,
de Breos,Gai,Hutaosa,
de Brito,Gaiallard,Hylda,
de Bruijn,Gaido,Hylde,
de Cahaihnes,Gaidon,Hyldeiard,
de Calmesnil,Gaifer,Hyolent,
de Caluwaert,Gaillard,Hypsipyle,
de Camp,Gaillart,Hyrmina,
de Carneillon,Gainas,Hysode,
de Caro,Gairbert,Hyssmaye,
de Caulmont,Gairebold,Iaera,
de Caux,Gairhard,Iaione,
de Challon,Gairovald,Ianeira,
de Chalunac,Gaiseric,Ianessa,
de Civille,Gaitzka,Ianthe,
de Colville,Gaizka,Ianuaria,
de Corbeil,Gaizkine,Ibabe,
de Cormeilles,Gaizko,Ibane,
de Coubertin,Galafe,Ibernalo,
de Coucy,Galafre,Ibone,
de Courseilles,Gale,Ida,
de Cow,Galefridus,Idasgarda,
de Crignis,Galenus,Ide,
de Croismare,Galeran,Idemay,
de Faicterau,Galeren,Ideny,
de Faria,Gales,Ideslef,
de Felice,Galfridus,Idesuuif,
de felitta,Galien,Ideswif,
de Felius,Galindo,Idisiardis,
de Forest,Galindus,Idoia,
de Freitas,Gallien,Idoibaltzaga,
de Fry,Gallienus,Idone,
de Genis,Gallus,Idonia,
de Genville,Galoer,Idony,
de Giovanni,Galot,Idurre,
de Giusti,Galter,Iera,
de Goey,Galterius,Igaratza,
de Gosbeck,Gamelin,Igone,
de Graff,Gamelinus,Igotz,
de Grauw,Gamellus,Ihintza,
de Graves,Gamelus,Ikerne,
de Graw,Gammell,Ikomar,
de Grieu,Ganelon,Ikuska,
de Groot,Ganix,Ilaria,
de Haan,Ganymedes,Ilazkie,
de Haes,Gar,Ilene,
de Hanivel,Garaile,Ilia,
de Hattes,Garaona,Iligardia,
de Heere,Garbrand,Illaria,
de Herle,Garibald,Iloz,
de Herville,Garikoitz,Imagantia,
de Houtman,Garin,Imaigne,
de Ireby,Garit,Imania,
de Jager,Garner,Imanie,
de Jongh,Garnet,Imayn,
de Keersmaeker,Garnier,Imayne,
de Klerk,Garnot,Imblen,
de Kook,Garnotin,Imedia,
de la Chaize,Garoa,Imelda,
de la Champagne,Garrat,Imeyna,
de la Hay,Garratt,Imicina,
de la Mare,Garrelt,Imma,
de la Noue,Garrett,Imme,
de la Place,Garrit,Immine,
de la Porte,Garsille,Imte,
de la Reue,Gartxot,Imyne,
de la Roche,Gartzea,Infe,
de Lampérière,Gartzen,Ingaret,
de Laurentiis,Gartzi,Ingaretta,
de Lavergne,Gascot,Ingela,
de Leon,Gaskon,Ingelswindis,
de Lombelon,Gasteiz,Ingeltrude,
de Lonval,Gastne,Ingeltrudis,
de Lorraine,Gaston,Ingeluuara,
de Lucien,Gau,Ingelwara,
de Maere,Gauanes,Ingerith,
de Malhortye,Gauargi,Ingrede,
de Man,Gaubert,Inmaculada,
de Marchi,Gauchier,Ino,
de Maree,Gaude,Ioar,
de Marest,Gaudinus,Iodberta,
de Maromme,Gaueko,Iola,
de Martino,Gaufrid,Iolanthe,
de Massard,Gaufridus,Iole,
de Masse,Gaufroi,Iolitha,
de Mauro,Gauguein,Iomene,
de Meeter,Gaumardas,Ione,
de Meligny,Gaur,Ionna,
de Menses,Gaut,Ionnia,
de Meo,Gautbehrt,Ionnina,
de Merode,Gautelen,Iphianassa,
de Mesniel,Gauterit,Iphigenia,
de Mesnildo,Gauteron,Iphimedeia,
de Mesquites,Gautier,Iphis,
de Mevius,Gautzelin,Iphitheme,
de Mey,Gauvain,Ipuza,
de Michelis,Gauzelen,Iragarte,
de Monchy,Gauzpert,Iraia,
de Monluc,Gavienus,Irakusne,
de Montchrestien,Gavin,Irantzu,
de Montfault,Gavinus,Irati,
de Montgomery,Gawayne,Iratxe,
de Moustiers,Gawen,Irene,
de Munchesney,Gawin,Iriberri,
de Neef,Gawn,Iride,
de Negri,Gawne,Irihapeti,
de Nijs,Gawter,Iris,
de Niro,Gawyn,Iristain,
de Pardieu,Gawyne,Iriuela,
de Perronet,Gaxan,Irmele,
de Pinchemont,Gaylord,Irmengard,
de Pougy,Gaztea,Irmenhild,
de Pre,Gebahard,Irmenlind,
de Randt,Geberic,Irua,
de Recusson,Gebhard,Irune,
de Rely,Geboin,Iruri,
de Remis,Gebun,Irutxeta,
de Reymes,Geerd,Isa,
de Rollebon,Geertt,Isadora,
de Roncherolles,Geffe,Isamaya,
de Roover,Geffery,Isard,
de Roquelaure,Geffrai,Isasi,
de Rosa,Geffray,Isata,
de Ruggiero,Geffrei,Isaut,
de Ruine,Geffrey,Isburch,
de Salynges,Geffroi,Iseldis,
de Sanctis,Gefroi,Iselota,
de Saulcy,Gefroy,Isemay,
de Saussay,Geike,Isemeine,
de Sauveterre,Geleon,Iseuda,
de Savage,Gelfradus,Iseult,
de Schepper,Gelimer,Iseut,
de Seguzzo,Gelis,Ismanna,
de Servian,Gelo,Ismeina,
de Seyssel,Gelon,Ismena,
de Silguy,Gelther,Ismene,
de Sille,Gemalfin,Ismenia,
de Smedt,Gembert,Ismey,
de Tanie,Gemmel,Isold,
de Thibault,Genethlius,Isolde,
de Tocni,Gennadios,Isolt,
de Toeni,Gennadius,Isot,
de Valles,Gentian,Isota,
de Vandes,Gentien,Isott,
de Vaux,Gento,Isotta,
de Veaux,Gentza,Isouda,
de Vertuil,Geoff,Issa,
de Vigny,Geoffrey,Issat,
de Villeneuve,Geoffroi,Isurieta,
de Villy,Geofridus,Isylte,
de Vito,Geordie,Italia,
de Viuepont,George,Italica,
de Vlaming,Georgie,Itoiz,
de Voe,Georgius,Itsasne,
de Vol,Georgus,Itsaso,
de Vooght,Georgy,Iturrieta,
de Voor,Ger,Iturrisantu,
de Vouw,Gerald,Itxaro,
de Vreese,Geraldo,Itxaso,
de Vriend,Geraldus,Itzal,
de Vymont,Gerard,Itzia,
de Waart,Gerardus,Itziar,
de Waele,Gerasimos,Iuetta,
de Wilde,Gerazan,Iuette,
de Witt,Gerbert,Iuliana,
de Zeeuw,Gerbertus,Iuotte,
de Zoete,Gerbodo,Iurre,
Deak,Gerbotho,Iustina,
Dealavallade,Gerente,Ivetta,
Deardorff,Gereon,Ivette,
Debacker,Gerfast,Ixone,
Debaere,Gergori,Izaga,
Debakker,Gerhardus,Izar,
Debavelaere,Gerhart,Izaro,
Debergé,Gerier,Izaskun,
Debeukelaer,Gerin,Izazkun,
Debeule,Gerjet,Izett,
Debisschop,Gerlach,Izorne,
Deblieck,Gerlacus,Izot,
Deblock,Gerland,Jacotte,
Debock,Germanus,Jaione,
Deboey,Gernandus,Jantje,
Deboos,Gerner,Jasone,
Debot,Gernier,Jauregi,
Debove,Gero,Jehanne,
Debruyn,Gerold,Jeike,
Deburghraeve,Geroldin,Jeliana,
Debusse,Geroldus,Jellfte,
Debussy,Gerolt,Jelyan,
Decaluwaert,Gerontius,Jenefer,
Decaluwe,Gerould,Jeneuer,
Decaux,Gerrart,Jenningtje,
Dechanet,Gerrit,Jeromia,
Dechaume,Gerulf,Jervaise,
Dechy,Gerung,Jesmaine,
Decker,Geruntius,Jesmond,
Deckers,Gervais,Jessamine,
Declark,Gervaise,Jessimond,
Decleene,Gervas,Jesusa,
Decleir,Gervasius,Jezebel,
Declerck,Gervassius,Jilfte,
Declercq,Gervès,Jill,
Decock,Gervèse,Jismond,
Deconinck,Gervesin,Jivete,
Deconserere,Gervesot,Joana,
Decook,Gervis,Joanna,
Decoteau,Gerwald,Jocasta,
d'Ecouis,Gesalec,Jocea,
Decraen,Gesimund,Jocey,
Decugis,Getica,Jocosa,
Dedauw,Geuffroi,Jodoca,
Dedecker,Geve,Johi,
Dedej,Gevehard,Joia,
Dedekind,Gib,Joie,
Dedobbelaer,Gibbon,Joiha,
Dedrick,Gibby,Jokie,
Dedycker,Gide,Joleicia,
Defazio,Gidie,Jolenta,
Deferne,Gieffrinnet,Jolicia,
Deffenu,Gifardus,Jone,
Deflandre,Gifartus,Jordan,
Deganello,Gifemund,Josebe,
Degas,Giff,Josephine,
Degeest,Gifford,Josiane,
Degert,Gigo,Josina,
Deglau,Gil,Josse,
Degols,Gilamu,Jossy,
Dehaene,Gilberd,Josune,
Deharo,Gilbertus,Jourdenete,
Dehert,Gildon,Joveta,
Dehmel,Gile,Joxepa,
Dehmer,Gilebert,Joya,
Dehooge,Gilebertus,Joye,
Dejaeck,Gilebin,Joyeuse,
Dejong,Gilen,Joyse,
Dejonghe,Gilesindo,Judda,
Dekerf,Gilet,Juelina,
Dekever,Gilibertus,Juet,
Dekker,Gilius,Juete,
Dekkers,Gill,Juetta,
Del Arco,Gillebertus,Jugatx,
Del Fra,Gilles,Juheta,
Del Noce,Gillet,Juhota,
Del Piero,Gilliame,Juicea,
Delacave,Gillius,Juicia,
Delacroix,Gillot,Julene,
Delaet,Gillotin,Julian,
Delaigue,Gilmyn,Juliana,
Delair,Gilon,Juliane,
Delaitre,Gilonem,Julie,
Delalande,Gilot,Julienne,
Delamater,Gilow,Juliet,
Delamere,Gilpin,Juliote,
Delamontagne,Gimmo,Julitta,
Delannoy,Giorgius,Julyan,
Delaroux,Gipp,June,
Delaune,Giradin,Jurdana,
Delavigne,Giraldus,Jurre,
Delee,Girard,Justina,
Delevoye,Girardus,Juwete,
Delfs,Girars,Juye,
D'elia,Girart,Kaithren,
Delicati,Giraud,Kalare,
Deligiannis,Giraudus,Kallisto,
Deligiorgis,Giraut,Kallixeina,
Delivorias,Girbers,Kalotte,
della Corte,Giregilo,Karin,
della Mea,Giriaume,Karine,
della Vedova,Girk,Karitate,
della Volpe,Giro,Karmele,
Dellas,Giroldus,Kassandra,
Delluc,Girout,Kat,
Delmonico,Giselberdus,Katalin,
Delnatte,Giseler,Katana,
Delogu,Gisfrid,Kate,
Delong,Gisilbehrt,Katelin,
Delorm,Gisilbert,Katelina,
Delorme,Gislebertus,Kateline,
Delpech,Giso,Katerin,
Delporte,Gisulf,Katerina,
Delsupexhe,Gizon,Katerine,
Deluguerre,Glaukias,Katering,
Delvaux,Glaukos,Kateryn,
Delvecchio,Glaumunt,Kateryna,
Demachi,Glauperaht,Kateryne,
Demaci,Glycerius,Katharina,
Demaere,Glycon,Katharine,
Demaesschalck,Gnipho,Katherin,
Demaeyer,Goar,Katherine,
Demai,Gobelin,Katherne,
Deman,Gobert,Katheryn,
Demartelaere,Gobin,Katheryne,
Demercastel,Goce,Kathren,
Demertzis,Gocelinus,Kathrine,
Demeulenaer,Godafre,Katina,
Demeuleneire,Godafried,Katixa,
Demeurichy,Godard,Katja,
Demeyer,Godart,Katrina,
Demilly,Godbert,Katrine,
Demisovski,Goddas,Katring,
Demko,Godebert,Katryne,
Demol,Godefray,Kattalin,
Demosthenous,Godefridus,Katte,
Demunck,Godefroi,Kea,
Demy,Godefroy,Keina,
Den Bakker,Godefry,Kemma,
Deneriaz,Godegisel,Kephissa,
Deneuve,Godehard,Kharmion,
Deneye,Godeheard,Khlöe,
d'Engagne,Godelot,Khloris,
Denhardt,Godepert,Kiena,
Deniau,Godesmannus,Kiles,
Denis,Godet,Kima,
Denizot,Godewinus,Kimbery,
Denk,Godfery,Kinborough,
Dennies,Godfree,Kinburga,
Dennysen,Godfreed,Kineburga,
Denon,Godfrey,Kinna,
Denot,Godfry,Kistie,
Dens,Godichal,Kitt,
Denul,Godigisclus,Kitty,
Deodato,Godila,Kizkitza,
Depaepe,Godilas,Kizzy,
Depoorter,Godin,Kleio,
Deprez,Godobald,Kleopatra,
Déprez,Godohelm,Klymene,
Depuysselaer,Godscalcus,Klytemnestra,
Depuysseleyr,Goduin,Knellste,
Derain,Goduine,Kodes,
Derame,Godun,Koldobike,
d'Eresby,Godvynus,Kontxesi,
Deridder,Goeuuin,Kontzeziona,
Derksen,Goffridus,Kordel,
Dernesch,Gogo,Kordula,
Derock,Goi,Koré,
Deroeck,Goiaricus,Koritto,
Deroover,Goin,Koru,
Derop,Goisfrid,Krabelin,
Deroulade,Goisfridus,Kriemhild,
Derr,Goiz,Kungund,
des Moutiers,Goizeder,Kuni,
des Vaux,Goldin,Kupe,
Desailly,Goldine,Kupie,
Desanlis,Golding,Kydilla,
Desarthe,Goldkopf,Kymme,
Desbiens,Golduin,Kyneburg,
Desboutin,Goldwyn,Kynna,
Deschaepmeester,Golias,Kynthia,
Deschamps,Gomeric,Kypris,
Deschepper,Gomesano,Kyra,
Deschu,Gonfroi,Kytte,
Deshors,Gontier,Labda,
Desire,Gora,Labinia,
Desjardins,Gorbea,Ladina,
Desmares,Gordias,Laetitia,
Desmet,Goren,Lagliua,
Desneux,Gorgias,Laguia,
d'Espagne,Gorgion,Laguntzane,
Despatie,Gorgos,Laida,
d'Espivant,Gorgythion,Lais,
Dessaigne,Gorka,Lalage,
Dessum,Gorosti,Lall,
Destain,Gorri,Lally,
Destatte,Gosbert,Lamia,
Destefani,Goscelin,Lamiaran,
Destine,Goscelinus,Lamindao,
Destot,Gosfridus,Lamke,
Desutter,Gotteschalk,Lampetie,
Detchenique,Gottschalk,Lampito,
